neighborhood,price
אזורי חן,11022.222222222223
אפקה,7650.0
בית שטראוס,9150.0
בצרון,8933.333333333334
גבעת הרצל,7400.0
דקר,6300.0
הגוש הגדול,11567.857142857143
הדר יוסף,8750.0
המשתלה,10766.666666666666
הצפון החדש החלק הדרומי,8700.0
הצפון החדש החלק הצפוני,6167.5
הצפון החדש סביבת ככר המדינה,7083.333333333333
הצפון הישן החלק הדרום מזרחי,8138.709677419355
הצפון הישן החלק הדרום מערבי,8863.333333333334
הצפון הישן החלק המרכזי,8293.857142857143
הצפון הישן החלק הצפוני,7112.068965517241
הקריה,11451.484848484848
התקווה,4627.777777777777
חוף הצוק,9000.0
יד אליהו,7196.153846153846
יפו ג,3450.0
יפו ד,4166.666666666667
כפיר,5225.0
כרם התימנים,9750.0
לב תל אביב החלק הדרומי,8357.142857142857
לבנה,5950.0
לינקולן,5100.0
מונטיפיורי,6080.0
"מע""ר צפוני",9850.0
מרכז יפו מזרחית לשדרות ירושלים,6600.0
נאות אפקה א,8583.333333333334
נאות אפקה ב,7700.0
נוה אביבים,10086.363636363636
נוה אליעזר,6400.0
נוה חן,6187.5
נוה שאנן,5964.705882352941
נוה שרת,6400.0
נחלת יצחק,8999.5
עג'מי,10385.714285714286
עזרא,6500.0
פארק צמרת,12186.363636363636
פלורנטין,6371.666666666667
צהלון,8283.333333333334
צפון יפו,8825.0
קרית שלום,6795.0
רביבים,13300.0
רמת אביב,8500.0
רמת אביב ג,8275.0
רמת אביב החדשה,11166.6
רמת החייל,4400.0
רמת הטייסים,2500.0
רמת ישראל,3500.0
שבזי,8657.142857142857
שיכון בבלי,6100.0
שיכוני חסכון,8500.0
שפירא,6477.4375
תל ברוך צפון,9000.0
תל חיים,5500.0
תל כביר,6928.571428571428
